,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
0,1.0,2021-07-01 00:08:51,2021-07-01 00:13:05,1.0,0.8,1.0,N,90,68,1.0,5.0,3.0,0.5,0.0,0.0,0.3,8.8,2.5
1,1.0,2021-07-01 00:22:39,2021-07-01 00:25:58,1.0,0.9,1.0,N,113,90,2.0,5.0,3.0,0.5,0.0,0.0,0.3,8.8,2.5
2,1.0,2021-07-01 00:48:33,2021-07-01 00:54:58,1.0,2.8,1.0,N,88,232,2.0,10.0,3.0,0.5,0.0,0.0,0.3,13.8,2.5
3,1.0,2021-07-01 00:59:44,2021-07-01 01:07:09,1.0,1.4,1.0,N,79,249,1.0,7.0,3.0,0.5,1.5,0.0,0.3,12.3,2.5
4,1.0,2021-07-01 00:08:35,2021-07-01 00:16:28,0.0,2.0,1.0,N,142,238,1.0,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5
5,1.0,2021-07-01 00:10:49,2021-07-01 00:18:42,1.0,1.6,1.0,N,114,90,1.0,7.5,3.0,0.5,1.5,0.0,0.3,12.8,2.5
6,1.0,2021-07-01 00:28:56,2021-07-01 00:36:11,1.0,1.8,1.0,N,90,144,1.0,7.5,3.0,0.5,2.0,0.0,0.3,13.3,2.5
7,1.0,2021-07-01 00:45:10,2021-07-01 00:52:46,1.0,2.0,1.0,N,114,48,1.0,8.5,3.0,0.5,2.45,0.0,0.3,14.75,2.5
8,1.0,2021-07-01 00:55:43,2021-07-01 01:10:56,1.0,5.7,1.0,N,48,152,2.0,18.5,3.0,0.5,0.0,0.0,0.3,22.3,2.5
9,1.0,2021-07-01 00:04:24,2021-07-01 00:13:23,1.0,1.8,1.0,N,234,148,1.0,8.5,3.0,0.5,2.45,0.0,0.3,14.75,2.5
10,1.0,2021-07-01 00:17:54,2021-07-01 00:27:11,2.0,3.5,1.0,N,79,141,1.0,11.5,3.0,0.5,2.0,0.0,0.3,17.3,2.5
11,1.0,2021-07-01 00:48:52,2021-07-01 01:01:32,1.0,7.5,1.0,N,138,69,1.0,22.0,1.75,0.5,6.2,6.55,0.3,37.3,0.0
12,2.0,2021-07-01 00:30:31,2021-07-01 00:37:19,1.0,1.02,1.0,N,230,164,1.0,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
13,2.0,2021-07-01 00:48:57,2021-07-01 00:58:47,1.0,1.15,1.0,N,249,79,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
14,2.0,2021-07-01 00:04:17,2021-07-01 00:12:49,1.0,2.16,1.0,N,48,90,1.0,8.5,0.5,0.5,2.0,0.0,0.3,14.3,2.5
15,2.0,2021-07-01 00:16:31,2021-07-01 00:19:08,1.0,1.07,1.0,N,90,48,1.0,5.0,0.5,0.5,0.75,0.0,0.3,9.55,2.5
16,2.0,2021-07-01 00:27:51,2021-07-01 00:32:00,1.0,1.56,1.0,N,142,238,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
17,1.0,2021-07-01 00:15:12,2021-07-01 00:31:56,3.0,8.5,1.0,Y,132,98,2.0,24.5,1.75,0.5,0.0,0.0,0.3,27.05,0.0
18,1.0,2021-07-01 00:57:47,2021-07-01 01:13:02,3.0,8.4,1.0,Y,132,222,2.0,25.0,1.75,0.5,0.0,0.0,0.3,27.55,0.0
19,2.0,2021-07-01 00:49:52,2021-07-01 01:13:59,1.0,17.07,2.0,N,132,74,1.0,52.0,0.0,0.5,10.0,6.55,0.3,70.6,0.0
20,1.0,2021-07-01 00:54:28,2021-07-01 00:57:57,1.0,0.8,1.0,N,48,161,1.0,5.0,3.0,0.5,2.2,0.0,0.3,11.0,2.5
21,1.0,2021-07-01 00:13:15,2021-07-01 00:31:10,1.0,5.1,1.0,N,107,179,1.0,17.5,3.0,0.5,4.25,0.0,0.3,25.55,2.5
22,2.0,2021-07-01 17:50:17,2021-07-01 17:59:21,1.0,2.34,1.0,N,13,246,1.0,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
23,2.0,2021-07-01 18:05:35,2021-07-01 18:39:18,1.0,5.79,1.0,N,68,232,1.0,23.5,0.5,0.5,6.82,0.0,0.3,34.12,2.5
24,1.0,2021-07-01 00:23:15,2021-07-01 00:45:06,1.0,10.0,1.0,N,138,239,1.0,29.5,4.25,0.5,8.2,6.55,0.3,49.3,2.5
25,1.0,2021-07-01 00:51:07,2021-07-01 00:53:55,1.0,0.6,1.0,N,142,239,1.0,4.5,3.0,0.5,1.65,0.0,0.3,9.95,2.5
26,1.0,2021-07-01 00:09:20,2021-07-01 00:21:14,1.0,4.0,1.0,N,107,87,1.0,14.5,3.0,0.5,0.0,0.0,0.3,18.3,2.5
27,1.0,2021-07-01 00:30:51,2021-07-01 00:45:40,1.0,5.0,1.0,N,231,142,1.0,16.5,3.0,0.5,4.05,0.0,0.3,24.35,2.5
28,1.0,2021-07-01 00:08:19,2021-07-01 00:47:23,1.0,18.6,2.0,N,132,158,1.0,52.0,3.75,0.5,10.0,6.55,0.3,73.1,2.5
29,1.0,2021-07-01 00:52:15,2021-07-01 01:06:09,1.0,3.7,1.0,N,158,141,1.0,13.5,3.0,0.5,3.45,0.0,0.3,20.75,2.5
30,2.0,2021-07-01 00:03:41,2021-07-01 00:15:08,1.0,3.56,1.0,N,75,50,1.0,12.5,0.5,0.5,1.0,0.0,0.3,17.3,2.5
31,2.0,2021-07-01 00:29:07,2021-07-01 01:13:04,5.0,14.23,1.0,N,61,74,1.0,44.0,0.5,0.5,3.0,0.0,0.3,50.8,2.5
32,1.0,2021-07-01 00:27:42,2021-07-01 00:35:21,2.0,1.9,1.0,N,48,246,1.0,8.5,3.0,0.5,2.45,0.0,0.3,14.75,2.5
33,1.0,2021-07-01 00:47:45,2021-07-01 00:55:34,1.0,2.9,1.0,N,50,151,1.0,10.0,3.0,0.5,2.75,0.0,0.3,16.55,2.5
34,2.0,2021-07-01 00:29:11,2021-07-01 01:02:50,2.0,19.19,2.0,N,132,90,1.0,52.0,0.0,0.5,12.62,6.55,0.3,75.72,2.5
35,1.0,2021-07-01 00:11:57,2021-07-01 00:41:22,2.0,16.8,2.0,N,132,164,2.0,52.0,3.75,0.5,0.0,6.55,0.3,63.1,2.5
36,1.0,2021-07-01 00:04:53,2021-07-01 00:10:27,1.0,2.1,1.0,N,137,140,1.0,7.5,3.0,0.5,0.0,0.0,0.3,11.3,2.5
37,1.0,2021-07-01 00:26:54,2021-07-01 00:33:04,1.0,2.2,1.0,N,236,74,1.0,8.0,3.0,0.5,0.94,0.0,0.3,12.74,2.5
38,1.0,2021-07-01 00:25:30,2021-07-01 00:42:30,1.0,6.0,1.0,N,138,135,1.0,19.5,1.75,0.5,4.4,0.0,0.3,26.45,0.0
39,1.0,2021-07-01 00:16:55,2021-07-01 00:43:35,1.0,16.8,2.0,N,132,164,1.0,52.0,3.75,0.5,15.75,6.55,0.3,78.85,2.5
40,1.0,2021-07-01 00:46:36,2021-07-01 01:06:48,1.0,4.8,1.0,N,234,255,2.0,18.0,3.0,0.5,0.0,0.0,0.3,21.8,2.5
41,2.0,2021-06-30 23:59:47,2021-07-01 00:07:23,1.0,2.02,1.0,N,162,114,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
42,2.0,2021-07-01 00:09:21,2021-07-01 00:14:12,1.0,0.97,1.0,N,114,231,1.0,5.5,0.5,0.5,1.0,0.0,0.3,10.3,2.5
43,2.0,2021-07-01 00:20:59,2021-07-01 00:26:38,1.0,0.9,1.0,N,231,144,2.0,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5
44,2.0,2021-07-01 00:26:58,2021-07-01 00:42:02,1.0,5.02,1.0,N,144,140,1.0,17.0,0.5,0.5,3.0,0.0,0.3,23.8,2.5
45,2.0,2021-07-01 00:30:28,2021-07-01 00:36:58,2.0,1.27,1.0,N,238,151,2.0,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
46,2.0,2021-07-01 00:10:23,2021-07-01 00:26:05,1.0,6.85,1.0,N,231,262,1.0,21.0,0.5,0.5,4.0,0.0,0.3,28.8,2.5
47,2.0,2021-07-01 00:18:53,2021-07-01 00:26:47,4.0,1.98,1.0,N,229,262,1.0,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
48,2.0,2021-07-01 00:43:27,2021-07-01 00:49:45,4.0,1.57,1.0,N,162,142,1.0,7.5,0.5,0.5,1.5,0.0,0.3,12.8,2.5
49,1.0,2021-07-01 00:19:45,2021-07-01 00:51:40,1.0,16.0,1.0,N,132,188,1.0,45.5,1.75,0.5,9.6,0.0,0.3,57.65,0.0
50,2.0,2021-07-01 00:49:12,2021-07-01 00:56:57,1.0,2.65,1.0,N,237,226,2.0,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
